application_id,scenario,applicant,project,form_budget_inr,annexure_budget_inr,expected_score,risk_score,expected_human_route,language,override_allowed
APP-001,complete,Green Earth Foundation,Wetland Restoration - Riverbend,2500000,2500000,92,12,Approve,English,True
APP-002,incomplete,EcoFuture Society,Urban Lake Rejuvenation,1800000,1800000,61,21,Escalate,English,True
APP-003,contradictory,Nature First Trust,Mangrove Regeneration,2500000,4000000,73,34,Escalate,English,True
APP-004,duplicate,Blue Planet Collective,Wetland Revival Programme,2480000,2480000,85,28,Escalate,English,True
APP-005,suspicious,Climate Action Forum,Community Solar Park,5000000,5000000,78,82,Escalate,English,True
APP-006,borderline,Jal Jeevan Community Group,Groundwater Recharge,1500000,1500000,75,25,Escalate,Hindi,True
APP-007,low_quality,Rural Green Mission,Afforestation and Soil Recovery,2200000,2200000,67,31,Escalate,Gujarati,True
APP-008,complete,Clean Coast Federation,Coastal Waste Interception,3200000,3200000,89,14,Approve,English,True
APP-009,incomplete,Biodiversity Network,Pollinator Corridor Project,1200000,1200000,58,18,Request Information,English,True
APP-010,suspicious,Sustainable Tomorrow Society,Green Cooling Centre,4500000,4500000,72,76,Escalate,English,True
APP-011,borderline,Gram Vikas Paryavaran Samiti,Village Composting Hubs,1000000,1000000,74,22,Escalate,Hindi,True
APP-012,complete,Prakruti Seva Mandal,Native Tree Nursery Network,2750000,2750000,88,16,Approve,Gujarati,True
